0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/data1/tooltips/headphone.jpg HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:21:28 +0530] "GET /MusicEra/data1/tooltips/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 404 1196
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:22:55 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/ HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 200 25926
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/engine1/script.js HTTP/1.1" 200 7820
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/data1/images/1398583043_shutterstock_54555799.jpg HTTP/1.1" 200 48198
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/engine1/wowslider.js HTTP/1.1" 200 26697
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/engine1/jquery.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/data1/images/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 200 68798
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/data1/images/headphone.jpg HTTP/1.1" 200 42208
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/data1/tooltips/headphone.jpg HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/data1/tooltips/1398583043_shutterstock_54555799.jpg HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:08 +0530] "GET /MusicEra/data1/tooltips/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 200 3708
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:24:57 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/ HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/engine1/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/data1/images/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/data1/images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/data1/images/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/data1/tooltips/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/data1/tooltips/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/engine1/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/data1/tooltips/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:27:57 +0530] "GET /MusicEra/engine1/wowslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/ HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/engine1/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/engine1/wowslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/engine1/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/data1/images/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/data1/images/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/data1/images/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/data1/tooltips/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/data1/tooltips/headphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:28:57 +0530] "GET /MusicEra/data1/tooltips/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/ HTTP/1.1" 200 5464
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/CSS/main.css HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/engine1/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/Images/Me.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/data1/images/1398583043_shutterstock_54555799.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/engine1/wowslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/data1/images/guitarinstrumentmusicalelectricstringsbrownblurwallpapersbytecom3840x2400.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/engine1/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/engine1/style.css HTTP/1.1" 200 25926
0:0:0:0:0:0:0:1 - - [01/Nov/2015:15:30:06 +0530] "GET /MusicEra/data1/images/headphone.jpg HTTP/1.1" 304 -
